x_id,estimated_dollar_loss,possible_cause_detail,tfs_alarm_time,possible_cause,month,day_of_week
2357642,50,03 - Suspected Vandalism,2018-02-24T21:24:43,Intentional,February,Saturday
2357647,2000,20 - Design/Construction/Installation/Maintenance Deficiency,2018-02-26T18:18:55,Design/Construction/Maintenance deficiency,February,Monday
2357648,100000,52 - Electrical Failure,2018-02-27T10:28:12,Mechanical/Electrical Failure,February,Tuesday
2357649,5000,46 - Used or Placed too close to combustibles,2018-02-25T15:48:34,Misuse of ignition source/material ignited,February,Sunday
2357652,500,44 - Unattended,2018-02-26T18:11:59,Misuse of ignition source/material ignited,February,Monday
2357654,0,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2018-03-03T09:49:14,Design/Construction/Maintenance deficiency,March,Saturday
2357657,15000,52 - Electrical Failure,2018-03-03T17:54:38,Mechanical/Electrical Failure,March,Saturday
2357659,60000,80 - Exposure fire,2018-03-03T19:04:47,Other,March,Saturday
2357662,10000,51 - Mechanical Failure,2018-03-03T20:53:55,Mechanical/Electrical Failure,March,Saturday
2357664,3000,51 - Mechanical Failure,2018-03-04T00:00:41,Mechanical/Electrical Failure,March,Sunday
2357665,100,51 - Mechanical Failure,2018-01-04T20:25:55,Mechanical/Electrical Failure,January,Thursday
2357667,100,47 - Improper handling of ignition source or ignited material,2018-01-06T17:54:40,Misuse of ignition source/material ignited,January,Saturday
2357668,15000,51 - Mechanical Failure,2018-01-08T19:38:24,Mechanical/Electrical Failure,January,Monday
2357683,15000,46 - Used or Placed too close to combustibles,2018-03-17T21:04:00,Misuse of ignition source/material ignited,March,Saturday
2357685,500000,46 - Used or Placed too close to combustibles,2018-03-17T21:59:36,Misuse of ignition source/material ignited,March,Saturday
2357689,1000,45 - Improperly Discarded,2018-03-18T09:33:55,Misuse of ignition source/material ignited,March,Sunday
2357692,1000,45 - Improperly Discarded,2018-03-18T23:28:41,Misuse of ignition source/material ignited,March,Sunday
2357695,10000,44 - Unattended,2018-03-24T07:17:39,Misuse of ignition source/material ignited,March,Saturday
2357699,8000,01 - Suspected Arson,2018-03-22T22:58:27,Intentional,March,Thursday
2357700,40000,01 - Suspected Arson,2018-02-08T00:05:40,Intentional,February,Thursday
2357701,60000,01 - Suspected Arson,2018-02-08T01:39:41,Intentional,February,Thursday
2357702,5000,52 - Electrical Failure,2018-01-22T18:43:00,Mechanical/Electrical Failure,January,Monday
2357703,5000,47 - Improper handling of ignition source or ignited material,2018-01-23T08:08:00,Misuse of ignition source/material ignited,January,Tuesday
2357704,10000,52 - Electrical Failure,2018-01-23T13:57:34,Mechanical/Electrical Failure,January,Tuesday
2357707,0,50 - Other misuse of ignition source/material ignited,2018-02-02T12:46:43,Misuse of ignition source/material ignitedl,February,Friday
2357709,30000,44 - Unattended,2018-02-02T16:35:34,Misuse of ignition source/material ignited,February,Friday
2357711,0,45 - Improperly Discarded,2018-02-03T02:11:12,Misuse of ignition source/material ignited,February,Saturday
2357713,50,46 - Used or Placed too close to combustibles,2018-02-03T10:28:57,Misuse of ignition source/material ignited,February,Saturday
2357716,300,52 - Electrical Failure,2018-01-15T21:07:56,Mechanical/Electrical Failure,January,Monday
2357717,1000,50 - Other misuse of ignition source/material ignited,2018-01-16T11:14:44,Misuse of ignition source/material ignitedl,January,Tuesday
2357719,10000,44 - Unattended,2018-01-18T18:56:04,Misuse of ignition source/material ignited,January,Thursday
2357720,60000,52 - Electrical Failure,2018-01-19T06:54:16,Mechanical/Electrical Failure,January,Friday
2357721,2000,44 - Unattended,2018-01-19T20:04:43,Misuse of ignition source/material ignited,January,Friday
2357722,0,47 - Improper handling of ignition source or ignited material,2018-01-20T18:06:28,Misuse of ignition source/material ignited,January,Saturday
2357723,50000,52 - Electrical Failure,2018-01-21T04:18:48,Mechanical/Electrical Failure,January,Sunday
2357726,100,01 - Suspected Arson,2018-03-30T01:12:20,Intentional,March,Friday
2357729,50000,44 - Unattended,2018-03-30T13:03:30,Misuse of ignition source/material ignited,March,Friday
2357732,1000,45 - Improperly Discarded,2018-03-30T18:08:54,Misuse of ignition source/material ignited,March,Friday
2357734,5000,45 - Improperly Discarded,2018-03-30T23:39:09,Misuse of ignition source/material ignited,March,Friday
2357735,500,44 - Unattended,2018-03-31T00:04:04,Misuse of ignition source/material ignited,March,Saturday
2357736,500,45 - Improperly Discarded,2018-03-31T07:07:38,Misuse of ignition source/material ignited,March,Saturday
2357739,30000,44 - Unattended,2018-01-02T06:24:18,Misuse of ignition source/material ignited,January,Tuesday
2357740,20000,47 - Improper handling of ignition source or ignited material,2018-01-02T14:11:33,Misuse of ignition source/material ignited,January,Tuesday
2357741,10000,44 - Unattended,2018-01-02T17:07:45,Misuse of ignition source/material ignited,January,Tuesday
2357743,1000,44 - Unattended,2018-01-03T13:36:20,Misuse of ignition source/material ignited,January,Wednesday
2357744,25000,51 - Mechanical Failure,2018-01-03T23:26:22,Mechanical/Electrical Failure,January,Wednesday
2357745,150000,46 - Used or Placed too close to combustibles,2018-01-05T14:06:44,Misuse of ignition source/material ignited,January,Friday
2357746,20000,01 - Suspected Arson,2018-01-06T21:06:45,Intentional,January,Saturday
2357747,100,49 - Improper Storage,2018-01-19T10:14:50,Misuse of ignition source/material ignitedl,January,Friday
2357749,500,47 - Improper handling of ignition source or ignited material,2018-01-12T15:36:54,Misuse of ignition source/material ignited,January,Friday
2357751,2000,20 - Design/Construction/Installation/Maintenance Deficiency,2018-02-09T14:51:55,Design/Construction/Maintenance deficiency,February,Friday
2357752,500,01 - Suspected Arson,2018-02-08T23:51:22,Intentional,February,Thursday
2357753,5000,52 - Electrical Failure,2018-02-09T01:28:49,Mechanical/Electrical Failure,February,Friday
2357754,1000,51 - Mechanical Failure,2018-02-09T06:08:34,Mechanical/Electrical Failure,February,Friday
2357763,50000,50 - Other misuse of ignition source/material ignited,2018-02-15T23:44:05,Misuse of ignition source/material ignitedl,February,Thursday
2357764,50,01 - Suspected Arson,2018-02-16T05:47:05,Intentional,February,Friday
2357765,500,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2018-02-16T13:29:28,Design/Construction/Maintenance deficiency,February,Friday
2357767,8000,47 - Improper handling of ignition source or ignited material,2018-02-16T18:44:52,Misuse of ignition source/material ignited,February,Friday
2357769,2500,44 - Unattended,2018-02-16T18:45:29,Misuse of ignition source/material ignited,February,Friday
2357770,400,03 - Suspected Vandalism,2018-02-16T20:12:57,Intentional,February,Friday
2357771,1000,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2018-02-16T22:41:42,Design/Construction/Maintenance deficiency,February,Friday
2357772,10000,52 - Electrical Failure,2018-02-17T10:02:38,Mechanical/Electrical Failure,February,Saturday
2357775,0,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2018-02-17T17:12:57,Design/Construction/Maintenance deficiency,February,Saturday
2357776,30000,52 - Electrical Failure,2018-02-17T21:57:52,Mechanical/Electrical Failure,February,Saturday
2357780,3000,44 - Unattended,2018-02-18T17:19:28,Misuse of ignition source/material ignited,February,Sunday
2357785,35000,52 - Electrical Failure,2018-02-19T17:41:29,Mechanical/Electrical Failure,February,Monday
2357788,100,52 - Electrical Failure,2018-03-07T17:44:03,Mechanical/Electrical Failure,March,Wednesday
2357793,50000,52 - Electrical Failure,2018-03-08T15:47:17,Mechanical/Electrical Failure,March,Thursday
2357794,30000,44 - Unattended,2018-03-08T17:06:39,Misuse of ignition source/material ignited,March,Thursday
2357795,20000,47 - Improper handling of ignition source or ignited material,2018-03-08T18:47:21,Misuse of ignition source/material ignited,March,Thursday
2357797,0,20 - Design/Construction/Installation/Maintenance Deficiency,2018-03-13T18:43:46,Design/Construction/Maintenance deficiency,March,Tuesday
2357798,0,45 - Improperly Discarded,2018-03-13T20:03:17,Misuse of ignition source/material ignited,March,Tuesday
2357802,10000,52 - Electrical Failure,2018-03-14T14:21:55,Mechanical/Electrical Failure,March,Wednesday
2357803,20000,47 - Improper handling of ignition source or ignited material,2018-03-14T15:01:55,Misuse of ignition source/material ignited,March,Wednesday
2357804,0,03 - Suspected Vandalism,2018-03-14T15:11:43,Intentional,March,Wednesday
2357805,10000,01 - Suspected Arson,2018-03-14T15:49:40,Intentional,March,Wednesday
2357810,8000,52 - Electrical Failure,2018-03-08T21:41:31,Mechanical/Electrical Failure,March,Thursday
2357811,10000,52 - Electrical Failure,2018-03-08T23:11:25,Mechanical/Electrical Failure,March,Thursday
2357812,5000,01 - Suspected Arson,2018-03-09T01:22:58,Intentional,March,Friday
2357813,1500,44 - Unattended,2018-03-09T10:53:06,Misuse of ignition source/material ignited,March,Friday
2357814,500,01 - Suspected Arson,2018-03-09T13:25:39,Intentional,March,Friday
2357815,15000,47 - Improper handling of ignition source or ignited material,2018-03-09T16:30:13,Misuse of ignition source/material ignited,March,Friday
2357816,10000,44 - Unattended,2018-03-09T21:43:18,Misuse of ignition source/material ignited,March,Friday
2357818,50000,44 - Unattended,2018-04-05T19:55:42,Misuse of ignition source/material ignited,April,Thursday
2357819,50000,44 - Unattended,2018-04-05T21:08:56,Misuse of ignition source/material ignited,April,Thursday
2357820,1000,01 - Suspected Arson,2018-04-05T21:16:46,Intentional,April,Thursday
2357822,40000,01 - Suspected Arson,2018-04-06T01:26:18,Intentional,April,Friday
2357824,100,01 - Suspected Arson,2018-04-06T16:01:05,Intentional,April,Friday
2357826,30000,51 - Mechanical Failure,2018-04-06T20:17:30,Mechanical/Electrical Failure,April,Friday
2357831,10000,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2018-02-26T18:55:51,Design/Construction/Maintenance deficiency,February,Monday
2357833,3000,48 - Used for purpose not intended,2018-02-26T20:07:30,Misuse of ignition source/material ignited,February,Monday
2357834,3000000,52 - Electrical Failure,2018-02-26T22:52:39,Mechanical/Electrical Failure,February,Monday
2357835,10000,52 - Electrical Failure,2018-02-27T06:20:59,Mechanical/Electrical Failure,February,Tuesday
2357837,75000,52 - Electrical Failure,2018-02-27T11:00:05,Mechanical/Electrical Failure,February,Tuesday
2357838,2000,47 - Improper handling of ignition source or ignited material,2018-02-27T11:11:15,Misuse of ignition source/material ignited,February,Tuesday
2357841,10000,51 - Mechanical Failure,2018-01-16T13:24:34,Mechanical/Electrical Failure,January,Tuesday
2357845,5000,47 - Improper handling of ignition source or ignited material,2018-01-20T01:42:36,Misuse of ignition source/material ignited,January,Saturday
2357846,25000,20 - Design/Construction/Installation/Maintenance Deficiency,2018-01-23T05:37:26,Design/Construction/Maintenance deficiency,January,Tuesday
